database	pathway	gene
REACTOME	5-Phosphoribose 1-diphosphate biosynthesis	LOC314140
REACTOME	5-Phosphoribose 1-diphosphate biosynthesis	Prps1
REACTOME	5-Phosphoribose 1-diphosphate biosynthesis	Prps1l1
REACTOME	5-Phosphoribose 1-diphosphate biosynthesis	Prps2
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	AABR07073181.1
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	B3galt6
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	B3gat1
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	B3gat2
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	B3gat3
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	B4galt7
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Bcan
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Bgn
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Cspg4
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Cspg5
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Dcn
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Gpc1
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Gpc2
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Gpc3
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Gpc4
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Gpc6
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Sdc1
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Sdc3
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Sdc4
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Xylt1
REACTOME	A tetrasaccharide linker sequence is required for GAG synthesis	Xylt2
REACTOME	Abacavir metabolism	Adh6
REACTOME	Abacavir metabolism	Nt5c2
REACTOME	Abacavir transmembrane transport	Slc22a1
REACTOME	Abacavir transmembrane transport	Slc22a2
REACTOME	Abacavir transmembrane transport	Slc22a3
REACTOME	Abacavir transport and metabolism	Adh6
REACTOME	Abacavir transport and metabolism	Nt5c2
REACTOME	Abacavir transport and metabolism	Slc22a1
REACTOME	Abacavir transport and metabolism	Slc22a2
REACTOME	Abacavir transport and metabolism	Slc22a3
REACTOME	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	Apex1
REACTOME	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	Polb
REACTOME	ABC transporters in lipid homeostasis	Abca12
REACTOME	ABC transporters in lipid homeostasis	Abca2
REACTOME	ABC transporters in lipid homeostasis	Abca3
REACTOME	ABC transporters in lipid homeostasis	Abca5
REACTOME	ABC transporters in lipid homeostasis	Abca6
REACTOME	ABC transporters in lipid homeostasis	Abca7
REACTOME	ABC transporters in lipid homeostasis	Abca9
REACTOME	ABC transporters in lipid homeostasis	Abcd1
REACTOME	ABC transporters in lipid homeostasis	Abcd2
REACTOME	ABC transporters in lipid homeostasis	Abcd3
REACTOME	ABC transporters in lipid homeostasis	Abcg1
REACTOME	ABC transporters in lipid homeostasis	Abcg4
REACTOME	ABC transporters in lipid homeostasis	Abcg5
REACTOME	ABC transporters in lipid homeostasis	Abcg8
REACTOME	ABC transporters in lipid homeostasis	Apoa1
REACTOME	ABC transporters in lipid homeostasis	LOC100911356
REACTOME	ABC transporters in lipid homeostasis	LOC102548286
REACTOME	ABC transporters in lipid homeostasis	Pex3
REACTOME	ABC-family proteins mediated transport	Abca12
REACTOME	ABC-family proteins mediated transport	Abca2
REACTOME	ABC-family proteins mediated transport	Abca3
REACTOME	ABC-family proteins mediated transport	Abca4
REACTOME	ABC-family proteins mediated transport	Abca5
REACTOME	ABC-family proteins mediated transport	Abca6
REACTOME	ABC-family proteins mediated transport	Abca7
REACTOME	ABC-family proteins mediated transport	Abca8
REACTOME	ABC-family proteins mediated transport	Abca9
REACTOME	ABC-family proteins mediated transport	Abcb4
REACTOME	ABC-family proteins mediated transport	Abcb5
REACTOME	ABC-family proteins mediated transport	Abcb6
REACTOME	ABC-family proteins mediated transport	Abcb7
REACTOME	ABC-family proteins mediated transport	Abcb8
REACTOME	ABC-family proteins mediated transport	Abcb9
REACTOME	ABC-family proteins mediated transport	Abcc1
REACTOME	ABC-family proteins mediated transport	Abcc10
REACTOME	ABC-family proteins mediated transport	Abcc2
REACTOME	ABC-family proteins mediated transport	Abcc3
REACTOME	ABC-family proteins mediated transport	Abcc4
